TimestampS,WaitTimeUs,CPU
73.385,15625,0
73.452,15625,0
73.459,15625,0
73.493,15625,0
73.509,15625,0
73.559,15625,0
73.586,15625,0
73.603,15625,0
73.742,15625,0
73.809,15625,0
73.826,15625,0
73.892,15625,0
74.043,15625,0
74.067,15625,0
74.130,15625,0
74.257,15625,0
74.276,15625,0
74.321,15625,0
74.411,15625,0
74.459,15625,0
74.526,15625,0
74.543,15625,0
74.559,15625,0
74.609,15625,0
74.637,15625,0
74.653,15625,0
74.661,15625,0
74.709,15625,0
74.776,15625,0
74.826,15625,0
74.867,15625,0
74.959,15625,0
75.036,15625,0
75.056,15625,0
75.161,15625,0
75.209,15625,0
75.276,15625,0
75.307,15625,0
75.396,15625,0
75.433,15625,0
75.443,15625,0
75.603,15625,0
75.643,15625,0
75.660,15625,0
75.693,15625,0
75.759,15625,0
75.793,15625,0
75.943,15625,0
75.976,15625,0
76.009,15625,0
76.093,15625,0
76.193,15625,0
76.226,15625,0
76.243,15625,0
76.255,15625,0
76.305,15625,0
76.334,15625,0
76.401,15625,0
76.432,15625,0
76.475,15625,0
76.493,15625,0
76.593,15625,0
76.602,15625,0
76.776,15625,0
76.854,15625,0
76.870,15625,0
76.884,15625,0
76.958,15625,0
77.042,15625,0
77.085,15625,0
77.105,15625,0
77.204,15625,0
77.243,15625,0
77.293,15625,0
77.359,15625,0
77.376,15625,0
77.403,15625,0
77.474,15625,0
77.540,15625,0
77.655,15625,0
77.675,15625,0
77.693,15625,0
77.776,15625,0
77.786,15625,0
77.809,15625,0
77.876,15625,0
77.885,15625,0
77.906,15625,0
77.920,15625,0
78.009,15625,0
78.052,15625,0
78.090,15625,0
78.100,15625,0
78.242,15625,0
78.259,15625,0
78.272,15625,0
78.304,15625,0
78.322,15625,0
78.359,15625,0
78.412,15625,0
78.491,15625,0
78.523,15625,0
78.543,15625,0
78.575,15625,0
78.600,15625,0
78.640,15625,0
78.775,15625,0
78.790,15625,0
78.880,15625,0
78.948,15625,0
78.959,15625,0
79.147,15625,0
79.209,15625,0
79.226,15625,0
79.310,15625,0
79.338,15625,0
79.427,15625,0
79.505,15625,0
79.675,15625,0
79.758,15625,0
79.843,15625,0
79.901,15625,0
79.929,15625,0
79.959,15625,0
80.042,15625,0
80.053,15625,0
80.103,15625,0
80.193,15625,0
80.242,15625,0
80.259,15625,0
80.343,15625,0
80.349,15625,0
80.389,15625,0
